データ日付,終値,始値,高値,安値
"2015/11/01","986.42","1018.85","1039.87","985.91"
"2015/12/01","984.06","1000.00","1000.00","952.72"
"2016/01/01","959.01","959.63","962.58","891.45"
"2016/02/01","980.99","956.09","983.97","933.54"
"2016/03/01","1079.67","995.07","1079.67","995.07"
"2016/04/01","1065.76","1072.06","1098.83","1060.46"
"2016/05/01","1039.07","1062.01","1062.01","1022.22"
"2016/06/01","1086.15","1040.11","1087.71","1040.11"
"2016/07/01","1121.85","1090.23","1129.84","1087.43"
"2016/08/01","1126.65","1136.79","1149.85","1115.25"
"2016/09/01","1109.22","1121.14","1129.30","1087.85"
"2016/10/01","1084.44","1116.78","1122.63","1071.23"
"2016/11/01","1027.21","1086.80","1086.80","1021.26"
"2016/12/01","1039.73","1036.47","1058.51","1011.09"
"2017/01/01","1087.49","1043.28","1099.55","1043.28"
"2017/02/01","1106.39","1096.26","1109.53","1093.18"
"2017/03/01","1139.59","1109.78","1144.31","1097.41"
"2017/04/01","1154.85","1142.88","1162.03","1138.08"
"2017/05/01","1175.21","1162.58","1182.97","1162.58"
"2017/06/01","1191.09","1181.95","1200.15","1181.95"
"2017/07/01","1218.09","1198.46","1220.95","1183.04"
"2017/08/01","1215.07","1215.87","1218.85","1198.43"
"2017/09/01","1223.20","1215.20","1239.64","1211.02"
"月次データは、日次終値ベースで集計。月次データ日付は月初日。本資料は日経の著作物であり、本資料の全部又は一部を、いかなる形式によっても日経に無断で複写、複製、転載または流布することができません。"
